loan_id,customer_id,borrower_name,age,employment_status,annual_income,credit_score,loan_type,loan_amount,interest_rate,loan_term_months,loan_status,disbursement_date,current_balance,monthly_payment
LN10818696,CUST488922,Wallis Yewman,35,Self-employed,117067,768,Auto,9875,6.35,48,Late (16-30 days),2023-07-12,7698,509.24
LN57133875,CUST196311,Matthaeus Dellatorre,29,Self-employed,110551,757,Business,43789,14.71,72,Paid Off,2023-09-24,49287,242.13
LN74058706,CUST121401,Kristy Stapels,55,Part-time,69039,741,Debt Consolidation,46527,15.83,36,Default,2024-04-01,13265,1339.97
LN51533385,CUST698324,Lauraine Haughin,41,Part-time,117960,705,Debt Consolidation,9630,7.82,72,Late (16-30 days),2023-10-07,68653,1442.18
LN32740039,CUST657416,Raddy Sydney,66,Part-time,52126,762,Home Improvement,21826,9.81,12,Active,2023-09-05,41383,1320.68
LN95749181,CUST186484,Nerti Richemont,40,Part-time,47811,580,Home Improvement,30745,18.84,36,Late (31+ days),2023-01-04,50525,339.26
LN27101601,CUST919093,Denny Boler,24,Contract,136731,647,Personal,66114,12.82,12,Late (16-30 days),2023-11-22,35392,735.35
LN92171654,CUST131848,Hildagard Audry,65,Self-employed,128600,612,Debt Consolidation,5909,12.64,60,Default,2023-04-04,14770,927.94
LN46130952,CUST568848,Yalonda Winnister,52,Part-time,32500,603,Business,7515,13.48,12,Late (16-30 days),2024-06-03,12915,671.99
LN79093567,CUST146210,Elspeth Boskell,62,Contract,34423,622,Personal,46339,7.92,72,Current,2023-11-22,55872,1084.66
LN36685924,CUST239692,Muffin Hylands,61,Part-time,131457,765,Medical,22280,9.8,72,Paid Off,2024-04-17,45054,977.13
LN13436178,CUST568465,Katya Rattenbury,41,Part-time,78900,830,Business,56600,14.69,60,Late (16-30 days),2023-02-02,35698,1457.13
LN40531821,CUST182838,Celestyna Watman,44,Full-time,49643,702,Home Improvement,9660,8.93,12,Active,2023-10-02,48140,1396.59
LN42290067,CUST603463,Willyt Winspar,50,Full-time,141797,651,Auto,36700,17.11,24,Active,2023-02-15,11238,323.97
LN94052703,CUST831922,Austine Teas,53,Part-time,113346,750,Auto,42881,9.71,60,Current,2024-01-26,39689,862.11
LN35257245,CUST580496,Marlow Leedal,62,Part-time,89677,685,Business,41085,12.65,24,Late (16-30 days),2024-03-08,4831,1416.92
LN76181949,CUST750752,Reinaldos Searchfield,54,Part-time,97187,842,Debt Consolidation,30303,11.59,36,Late (31+ days),2023-06-08,18474,614.32
LN40772883,CUST551479,Doy Welldrake,26,Contract,55202,718,Personal,5089,6.5,60,Late (31+ days),2023-01-29,22346,812.32
LN93601776,CUST538485,Augusta Broadist,45,Full-time,146691,751,Debt Consolidation,18092,11.57,24,Active,2023-05-30,69286,695.83
LN24615649,CUST486311,Rosalia Mitchley,61,Unemployed,123301,762,Medical,22715,14.68,72,Paid Off,2023-09-18,18647,1214.25
LN95941196,CUST454002,Garold Muffett,49,Full-time,141408,600,Home Improvement,9500,4.95,72,Late (31+ days),2023-03-17,47618,802.44
LN62134974,CUST816030,Derrick Rolfo,52,Self-employed,51486,836,Home Improvement,9037,8.2,12,Default,2023-08-16,40991,1036.98
LN83646331,CUST348386,Barret Stolting,38,Self-employed,83554,610,Business,59227,15.38,72,Default,2023-06-10,33504,799.25
LN24332557,CUST867963,Delly Cowling,29,Unemployed,145884,829,Business,7516,7.82,12,Current,2024-02-14,63607,209.67
LN21701305,CUST150573,Rriocard Occleshaw,44,Part-time,113109,705,Personal,43798,15.9,24,Current,2024-03-30,68426,784.32
LN35093514,CUST869747,Barbey Studd,50,Contract,116900,630,Debt Consolidation,46723,14.13,72,Late (31+ days),2023-11-24,24115,1337.48
LN84115191,CUST424318,Bride Durdan,55,Self-employed,140493,577,Home Improvement,71417,10.83,48,Default,2023-12-10,53784,664.84
LN22290616,CUST587878,Kelcy Rhodus,48,Part-time,123442,837,Auto,39519,16.23,12,Current,2023-04-18,36538,382.07
LN32222208,CUST464107,Shawna Bohlje,33,Part-time,93179,666,Personal,42236,10.42,72,Default,2023-10-18,42839,1125.05
LN93827104,CUST246795,Rriocard Norrey,27,Contract,51733,590,Medical,32438,10.42,36,Paid Off,2023-03-26,59768,860.27
LN21275972,CUST272262,Carri Mead,26,Unemployed,55325,560,Business,16337,7.66,72,Late (31+ days),2023-01-07,3957,728.56
LN40969897,CUST712270,Carri Harwell,67,Part-time,52622,554,Auto,58727,12.99,72,Paid Off,2023-08-29,54139,804.27
LN28323014,CUST837028,Franky McFarlan,62,Self-employed,133367,631,Debt Consolidation,71889,18.15,48,Current,2024-03-15,11960,728.52
LN61017085,CUST214456,Federica Pavkovic,69,Self-employed,135067,710,Debt Consolidation,37911,11.86,12,Active,2023-05-28,2222,844.75
LN91934074,CUST875401,Estevan Sibylla,65,Unemployed,119227,781,Home Improvement,69752,18.02,36,Late (31+ days),2023-03-05,38212,1356.78
LN48986695,CUST854256,Marna Arundel,50,Self-employed,134685,641,Auto,9435,9.51,24,Late (16-30 days),2024-03-21,39331,952.66
LN99984480,CUST117443,Chrystel Bennion,40,Self-employed,140245,757,Auto,16474,15.96,60,Late (16-30 days),2023-12-29,9425,1328.73
LN23708425,CUST595228,Rubi Adamec,27,Part-time,123819,694,Personal,50894,17.82,12,Late (16-30 days),2023-07-07,610,248.27
LN77733800,CUST836868,Norry Denty,64,Contract,55612,692,Debt Consolidation,57398,13.19,48,Current,2023-09-04,66130,1465.57
LN92133236,CUST843909,Kissee Brucker,65,Full-time,58030,592,Debt Consolidation,41169,18.36,48,Default,2023-03-09,23254,1351.55
LN41725622,CUST860723,Fidel Folkard,44,Full-time,43009,850,Home Improvement,24990,4.98,12,Paid Off,2024-03-07,14891,1041.79
LN76453810,CUST251112,Franchot Traher,35,Unemployed,52542,722,Debt Consolidation,18749,4.3,12,Current,2023-03-25,50527,1384.25
LN44800424,CUST302056,Aleta Russe,27,Unemployed,97048,662,Personal,68974,12.09,24,Default,2023-03-28,62723,1405.3
LN13875555,CUST677974,Maryjane Mauditt,31,Full-time,114270,759,Personal,12206,7.6,24,Active,2023-01-06,34579,619.28
LN51011556,CUST963516,Ogdan Locket,68,Part-time,85597,671,Medical,48430,8.19,36,Late (16-30 days),2024-02-11,39918,1225.26
LN61882737,CUST664887,Zacharie Skacel,69,Contract,42413,665,Debt Consolidation,9718,18.72,60,Active,2024-05-14,27472,1041.33
LN87284960,CUST465964,Aloise Snarie,34,Full-time,106391,724,Debt Consolidation,9477,17.41,48,Paid Off,2024-01-27,29518,1362.38
LN40259433,CUST642658,Kalil Skip,44,Contract,100394,626,Medical,64891,6.97,12,Active,2024-07-12,19706,488.22
LN39579310,CUST865488,Lira Twinning,61,Full-time,58348,763,Debt Consolidation,71418,11.49,48,Active,2023-02-16,69212,654.89
LN97469330,CUST233876,Dagny Ebbetts,31,Full-time,94331,571,Home Improvement,32947,12.8,72,Default,2023-11-30,34265,159.78
LN94324172,CUST502438,Alexander Godlonton,52,Full-time,30343,563,Auto,67001,9.06,24,Active,2024-04-30,3301,461.83
LN12207996,CUST727394,Scarface Brimner,63,Part-time,113890,643,Personal,9325,5.85,24,Active,2023-11-29,32510,536.75
LN64445460,CUST820017,Kikelia Paggitt,22,Full-time,61181,626,Debt Consolidation,27681,7.69,12,Paid Off,2023-09-08,5494,282.12
LN34366563,CUST807352,Artemas Train,68,Contract,116893,762,Medical,56145,8.95,12,Late (31+ days),2024-02-07,27885,335.1
LN30921384,CUST322054,Bea MacDuff,34,Full-time,113604,578,Debt Consolidation,60921,18.11,24,Paid Off,2023-05-06,42285,720.88
LN82131208,CUST345980,Augusta Sabathier,35,Contract,88798,838,Home Improvement,47678,10.0,60,Default,2023-11-27,33486,365.86
LN28486829,CUST797889,Mata Joscelyn,35,Part-time,83024,666,Home Improvement,53034,11.88,24,Paid Off,2023-06-09,44699,1261.49
LN49104835,CUST723233,Hanan Grieswood,53,Full-time,104014,831,Home Improvement,19845,13.99,48,Active,2024-05-05,38338,483.66
LN47621775,CUST621427,Gusella Sutty,63,Part-time,113899,680,Auto,57676,18.94,48,Active,2023-09-09,36018,1381.61
LN61621862,CUST101786,Maressa Crothers,58,Contract,98774,675,Medical,5188,16.88,24,Default,2024-01-11,11189,1048.43
LN21092538,CUST997185,Clive Bartleet,58,Unemployed,82043,553,Debt Consolidation,7998,7.94,60,Paid Off,2023-04-07,25107,1070.08
LN54588569,CUST422014,Zacharias Macconachy,31,Part-time,92052,597,Auto,40523,6.21,24,Paid Off,2023-04-24,52245,1235.26
LN75923444,CUST637412,Hannah Rowat,29,Part-time,110728,558,Debt Consolidation,20034,8.01,36,Current,2024-01-03,23909,933.43
LN23753174,CUST750866,Emilio Kubiak,34,Self-employed,38617,840,Medical,72754,7.76,24,Late (31+ days),2023-09-20,40776,719.99
LN80165000,CUST988861,Hillyer Whiting,29,Full-time,113397,773,Medical,11864,9.45,48,Active,2023-09-01,18513,434.22
LN13471620,CUST313107,Betsy Hefferon,53,Self-employed,67841,654,Business,23310,6.33,72,Late (31+ days),2024-04-05,43723,1151.31
LN93221604,CUST806601,Dniren Scutter,39,Contract,37633,801,Home Improvement,25205,10.83,48,Active,2023-07-23,22705,689.73
LN90425004,CUST491109,Maris Phillott,32,Self-employed,44213,675,Business,17987,17.16,72,Late (31+ days),2023-10-20,32495,1449.32
LN41709933,CUST724005,Elise Stede,23,Part-time,58481,668,Personal,5121,6.16,12,Late (31+ days),2023-11-24,64377,232.63
LN14934524,CUST894395,Yul Josipovic,65,Part-time,91461,619,Home Improvement,40780,10.81,72,Active,2023-06-09,51076,1042.03
LN90244635,CUST817116,Rab Raspison,26,Unemployed,74306,569,Home Improvement,25714,15.9,24,Paid Off,2023-08-15,10694,247.58
LN45143008,CUST637772,Jobey D'eath,29,Unemployed,107266,800,Home Improvement,62760,9.29,60,Active,2023-11-18,19270,941.08
LN64188754,CUST928242,Adey Kiss,25,Contract,77987,591,Medical,74805,5.42,24,Late (31+ days),2023-01-27,427,641.07
LN71248459,CUST495653,Letti Brawley,22,Part-time,71595,647,Business,10802,18.9,36,Active,2023-09-08,56955,391.88
LN59108880,CUST334202,Prinz Edwicke,22,Contract,50033,671,Debt Consolidation,28460,10.88,36,Late (31+ days),2024-05-12,254,1482.76
LN17134488,CUST560419,Farrand Shewen,42,Contract,128004,726,Auto,47779,8.24,36,Active,2023-01-12,37327,233.12
LN81003675,CUST961705,Kane Stadden,50,Part-time,148603,689,Auto,18504,8.99,12,Active,2023-01-25,69709,674.4
LN93079185,CUST293267,Inesita Motten,44,Self-employed,143048,780,Business,51587,10.73,72,Default,2023-02-24,11926,1389.46
LN40126843,CUST665357,Ivonne Saw,64,Full-time,76576,846,Personal,52007,6.92,60,Late (31+ days),2023-12-01,54115,949.69
LN61717790,CUST747346,Barclay Gilchrest,33,Full-time,117395,840,Debt Consolidation,10719,12.95,48,Current,2024-06-19,23830,241.57
LN85400433,CUST500405,Malchy Talkington,25,Self-employed,123983,776,Medical,17422,12.37,48,Paid Off,2023-12-22,18527,758.94
LN64060115,CUST147214,Marja Rowbottam,24,Self-employed,38364,672,Home Improvement,61175,17.98,48,Late (31+ days),2024-03-30,39012,423.09
LN36387244,CUST668045,Johnath Muzzini,62,Unemployed,66931,719,Home Improvement,26033,8.84,24,Default,2023-03-01,6100,1395.59
LN44336732,CUST872795,Niki Dennis,49,Self-employed,60983,678,Personal,47055,7.57,60,Late (16-30 days),2024-05-29,68296,945.56
LN92819404,CUST163160,Heida Conlon,42,Self-employed,46941,580,Business,72004,6.88,12,Current,2024-06-26,39058,691.79
LN17452813,CUST975737,Finley Garbar,65,Contract,131437,629,Medical,33906,12.33,12,Late (31+ days),2023-04-30,38804,1423.23
LN19680298,CUST592971,Eddie Eckh,21,Contract,75026,580,Medical,41847,16.24,12,Late (16-30 days),2024-03-21,6386,1175.42
LN11462314,CUST331522,Emerson Scriver,65,Part-time,78520,664,Debt Consolidation,67568,9.8,60,Late (31+ days),2023-10-31,48084,487.35
LN48625890,CUST587031,Bobinette Spadazzi,39,Full-time,72992,781,Auto,20771,14.96,60,Current,2023-10-14,48607,535.17
LN71294697,CUST625633,Isobel Dedden,34,Contract,93757,794,Auto,27704,16.98,60,Paid Off,2023-08-06,10492,868.71
LN23306924,CUST101275,Heinrik Cross,31,Self-employed,100328,801,Business,17987,7.18,60,Paid Off,2024-01-23,66257,1118.5
LN37931880,CUST952666,Jervis Folliott,64,Unemployed,69172,564,Auto,20607,4.34,24,Paid Off,2024-02-01,15275,1230.17
LN70833304,CUST257561,Athene Carpe,52,Unemployed,92812,669,Auto,39882,12.3,60,Active,2023-03-13,52764,307.57
LN65088224,CUST512322,Humfrid Hallihane,56,Part-time,90917,634,Auto,39193,9.91,24,Late (16-30 days),2023-07-05,38703,1097.26
LN38817309,CUST788049,Wilie Tregunna,23,Part-time,115994,773,Home Improvement,37857,12.13,72,Late (31+ days),2023-09-02,30862,1157.05
LN21670786,CUST212020,Aleta Sands-Allan,22,Self-employed,51970,783,Business,8454,10.68,24,Late (16-30 days),2023-06-03,68164,1414.4
LN28554848,CUST621516,Leonid Guys,35,Full-time,124632,849,Business,62374,18.0,36,Current,2023-08-10,42205,297.43
LN58695906,CUST664665,Hatti Claris,22,Self-employed,133834,715,Home Improvement,47581,8.81,48,Late (16-30 days),2024-04-06,37904,528.71
LN67259092,CUST599502,Dorey Westoll,62,Unemployed,92626,741,Auto,27407,12.98,12,Default,2024-03-08,45545,249.67
LN19542922,CUST140094,Rice Shopcott,70,Full-time,110975,818,Home Improvement,11005,17.77,60,Active,2023-04-27,44132,1184.25
LN32017976,CUST503187,Waite Nolton,60,Unemployed,47110,667,Personal,32619,17.07,48,Current,2023-02-28,47566,1264.49
LN60666709,CUST687460,Thalia Cornely,29,Part-time,115182,799,Auto,5607,10.19,12,Current,2023-09-19,48835,300.65
LN46274469,CUST414629,Angy Burrett,59,Full-time,102341,847,Auto,25444,11.18,24,Paid Off,2024-05-25,38498,694.45
LN99488236,CUST363781,Cassandry Sighart,66,Full-time,118723,850,Home Improvement,17019,16.77,48,Default,2023-12-23,28185,745.76
LN35789074,CUST150995,Clarisse Mustoe,23,Self-employed,143923,626,Personal,55432,10.92,48,Active,2024-02-19,65800,1086.28
LN60680802,CUST939904,Tandy Witherden,47,Self-employed,46171,648,Auto,9346,9.28,12,Current,2023-11-16,2104,888.11
LN37576682,CUST672748,Pru Theriot,30,Self-employed,48112,585,Home Improvement,63521,16.9,24,Late (16-30 days),2024-05-19,2827,291.83
LN26417754,CUST731068,Jennette Peagram,41,Full-time,123056,795,Debt Consolidation,47980,16.36,24,Late (31+ days),2023-02-15,44020,1081.22
LN33083278,CUST815836,Carlee Davidesco,35,Part-time,99955,763,Personal,64216,10.73,12,Current,2024-06-18,24766,1444.13
LN84628870,CUST567950,Averil Trenbay,47,Self-employed,55911,848,Personal,23569,11.64,48,Current,2023-06-18,52483,415.59
LN24229289,CUST473539,Flori Sprade,42,Unemployed,97468,838,Business,56520,8.36,72,Late (16-30 days),2023-06-02,30052,1294.46
LN72411832,CUST452742,Damita Surpliss,35,Self-employed,98864,728,Business,13260,6.39,48,Late (16-30 days),2023-08-25,63199,389.45
LN50065291,CUST539216,Marlo Fearne,58,Unemployed,38678,794,Medical,52924,13.21,12,Paid Off,2024-01-27,21534,1250.46
LN62044640,CUST889294,Hendrik Ferrie,56,Contract,40501,811,Auto,48758,8.38,24,Current,2024-02-15,47094,190.39
LN89491068,CUST431815,Fanni Alliston,21,Unemployed,123767,597,Medical,26166,16.77,48,Active,2023-02-15,54026,576.06
LN89272681,CUST177376,Annabela Mouatt,63,Self-employed,132889,569,Debt Consolidation,36750,7.12,48,Late (16-30 days),2023-09-01,748,862.55
LN79381928,CUST128523,Bobette Gotch,46,Self-employed,61668,784,Personal,12568,4.72,72,Late (31+ days),2024-07-14,43513,693.42
LN30680116,CUST310455,Amelie Margetts,36,Contract,87877,557,Business,16499,12.75,72,Active,2023-12-20,50618,959.19
LN84490095,CUST446698,Brenn Harker,56,Contract,73767,748,Home Improvement,67228,13.94,12,Late (31+ days),2024-04-02,64890,1000.42
LN55306033,CUST228413,Edythe Fasse,21,Self-employed,121720,827,Home Improvement,55751,16.31,48,Default,2024-01-04,7736,541.05
LN25720380,CUST482778,Adria Coling,32,Self-employed,70560,735,Medical,24326,17.64,36,Paid Off,2024-03-27,26801,1461.19
LN85207274,CUST876911,Budd Hedde,39,Full-time,57982,642,Business,46154,11.35,12,Late (31+ days),2023-11-05,19555,567.16
LN98271330,CUST772188,Cammie Goodere,50,Full-time,113030,816,Home Improvement,36266,13.41,24,Late (16-30 days),2023-04-26,32629,392.49
LN70403675,CUST365436,Olivia Prenty,68,Contract,64898,603,Personal,30204,11.9,48,Default,2023-04-28,20163,498.0
LN22046238,CUST381786,Karlyn Dunklee,55,Unemployed,135748,632,Debt Consolidation,32342,12.34,24,Default,2023-03-05,64225,322.64
LN34447475,CUST843524,Maura Murrock,37,Unemployed,92354,721,Auto,49858,12.95,12,Late (16-30 days),2023-09-17,35740,190.66
LN52208915,CUST749875,Torie Kurt,42,Full-time,129967,695,Auto,49360,14.78,60,Current,2024-04-14,11835,1369.55
LN42501313,CUST641568,Jacquette Early,32,Self-employed,62357,683,Home Improvement,45246,15.63,60,Default,2024-05-05,64719,999.64
LN47245873,CUST700817,Noah Shellard,48,Unemployed,76322,622,Medical,39285,7.44,72,Paid Off,2024-01-28,17315,1342.7
LN90767122,CUST998955,Kendrick Frosch,49,Contract,107122,562,Business,26404,6.39,36,Late (31+ days),2024-03-15,51656,1465.29
LN89545614,CUST598626,Vi Mearing,40,Self-employed,97571,677,Home Improvement,5948,16.36,12,Late (31+ days),2023-08-02,43677,1126.38
LN70156548,CUST334169,Anastasie Routley,63,Self-employed,52643,763,Business,33766,13.43,48,Paid Off,2023-08-02,60858,530.56
LN85532250,CUST664354,Doralyn Symones,24,Contract,62733,845,Home Improvement,32700,15.99,36,Paid Off,2023-11-07,42538,1406.95
LN37892019,CUST335010,Amery Grinsted,27,Contract,136521,772,Auto,36568,16.23,72,Late (31+ days),2023-09-11,6315,609.14
LN34403997,CUST450657,Cassandre Frisch,38,Self-employed,131485,639,Medical,55400,17.32,60,Current,2023-11-22,21007,1180.45
LN38529536,CUST489039,Isidore Allin,54,Full-time,109462,714,Auto,35377,5.64,36,Late (16-30 days),2024-06-02,35064,1118.6
LN17984216,CUST197511,Britte Yuranovev,23,Full-time,66178,675,Medical,14907,13.23,48,Current,2023-01-16,26902,811.54
LN57774689,CUST142321,Morry Clucas,56,Part-time,113809,610,Business,66221,11.92,12,Current,2023-10-17,61558,740.66
LN67200608,CUST173610,Gianna Volcker,39,Contract,130864,669,Debt Consolidation,65278,5.82,36,Late (16-30 days),2024-02-26,1047,865.77
LN12231329,CUST788540,Joyous Sandom,70,Full-time,87710,812,Personal,22684,10.15,36,Late (16-30 days),2023-02-02,33458,562.23
LN90407173,CUST584258,Yard Schiementz,33,Contract,86196,683,Auto,74651,9.89,24,Late (31+ days),2023-06-03,56283,424.57
LN39318936,CUST921065,Mabel Guiton,22,Unemployed,73209,843,Debt Consolidation,20394,8.63,48,Late (16-30 days),2024-06-22,40826,791.85
LN31391572,CUST197390,Kelcie Sansome,39,Self-employed,66040,667,Auto,21736,6.56,60,Late (16-30 days),2024-01-03,37820,722.42
LN27962448,CUST928756,Dacey Thorwarth,60,Unemployed,145233,698,Personal,19302,14.75,60,Paid Off,2023-01-27,38261,1464.85
LN64131472,CUST149509,Marcie Buntine,22,Contract,104329,837,Business,72700,12.72,12,Current,2023-08-11,51620,1337.92
LN52231858,CUST530977,Madeline Budgen,40,Contract,35611,732,Personal,73644,16.94,12,Active,2023-11-13,61921,537.58
LN96339354,CUST263515,Gerrie Abramowitz,35,Part-time,58042,660,Medical,54269,6.09,12,Current,2024-02-09,15130,895.85
LN76665518,CUST680538,Dwayne Tomsen,39,Full-time,34192,702,Debt Consolidation,32219,13.27,60,Default,2023-12-31,21295,1294.8
LN48924843,CUST508551,Lorrie Twigg,38,Unemployed,133059,726,Medical,12683,5.18,72,Paid Off,2024-07-22,15621,453.05
LN64299560,CUST739368,Katleen Sheldrick,39,Self-employed,145604,736,Medical,65015,9.09,12,Late (31+ days),2024-07-27,13934,233.81
LN38312413,CUST891042,Dag Moral,30,Full-time,113625,666,Business,8199,13.55,72,Late (31+ days),2024-03-17,10908,1342.52
LN70566293,CUST637926,Aluino Trythall,40,Self-employed,107662,814,Business,25168,10.2,12,Active,2024-02-05,36171,546.12
LN21869043,CUST393364,Kipper Wychard,64,Part-time,87477,675,Debt Consolidation,46657,17.4,60,Late (31+ days),2023-03-05,18248,629.06
LN55125195,CUST543067,Everard Bulstrode,32,Contract,70573,558,Personal,51528,11.18,60,Late (16-30 days),2024-07-18,54747,235.34
LN31020570,CUST685740,Royce Skett,42,Self-employed,30653,731,Personal,47978,11.19,36,Default,2023-11-13,25607,223.96
LN93308978,CUST253327,Reeba Fallen,70,Contract,36334,722,Home Improvement,59715,6.24,72,Late (16-30 days),2024-06-06,32863,1065.53
LN94275534,CUST445473,Kania Boggis,25,Self-employed,121961,692,Medical,61110,17.13,24,Paid Off,2023-12-20,50545,1081.34
LN14685125,CUST927789,Beulah Gilsthorpe,33,Full-time,55023,550,Business,70089,15.07,12,Current,2023-01-08,9010,843.55
LN82405106,CUST965677,Brett Arkin,42,Self-employed,126944,824,Medical,43913,7.35,12,Late (31+ days),2023-04-30,9082,188.59
LN94078888,CUST224159,Norrie Lamberto,52,Unemployed,42358,690,Debt Consolidation,30089,7.72,60,Active,2023-10-02,1700,312.32
LN45752917,CUST631963,Gracie Palfery,51,Unemployed,109221,567,Home Improvement,22420,12.16,36,Active,2024-05-24,8878,1425.12
LN78037549,CUST454765,Jacob Murrie,49,Full-time,146633,566,Home Improvement,73633,7.37,48,Late (31+ days),2023-04-30,36327,1192.98
LN49613513,CUST153012,Tyson Gresty,61,Self-employed,40475,632,Medical,10225,9.63,60,Paid Off,2023-09-29,31765,1203.19
LN44184939,CUST975549,Durant Presswell,24,Part-time,105998,679,Personal,9651,5.52,48,Paid Off,2023-05-14,37050,461.01
LN35184830,CUST290221,Gussie Geraghty,27,Contract,30726,846,Home Improvement,66900,5.07,12,Active,2023-04-27,68455,1404.89
LN49536127,CUST317616,Bertie Addekin,31,Contract,118514,809,Auto,16691,7.97,36,Paid Off,2023-01-09,66952,518.66
LN93059890,CUST832190,Kristin Grimditch,33,Part-time,34940,827,Medical,22113,5.35,24,Paid Off,2023-01-29,50388,1047.19
LN49117573,CUST508133,Kimbell Speak,68,Self-employed,76524,820,Personal,28292,18.52,60,Active,2024-03-26,30546,319.76
LN13377823,CUST153101,Bevon Buer,53,Part-time,57671,682,Business,37315,6.52,36,Default,2023-06-07,45140,579.69
LN63753565,CUST641719,Shirleen Carrane,70,Contract,135258,720,Business,10568,9.58,48,Paid Off,2023-01-27,61173,1480.99
LN14172421,CUST124921,Warden Castella,24,Part-time,101045,629,Medical,15549,4.05,24,Paid Off,2023-11-17,65165,1370.02
LN29699625,CUST688165,Verine Brickham,38,Unemployed,94984,700,Debt Consolidation,44657,12.41,72,Late (16-30 days),2023-09-07,39155,1469.83
LN89600319,CUST348583,Ilsa Swayne,35,Unemployed,43051,834,Home Improvement,39656,10.33,36,Current,2024-07-24,21377,1164.61
LN48125453,CUST342946,Hollie Vasser,60,Part-time,66856,701,Business,73167,14.77,12,Paid Off,2023-05-18,7749,551.39
LN46486444,CUST899329,Mile Souley,47,Self-employed,149364,777,Debt Consolidation,17413,15.08,48,Active,2023-06-14,30928,875.54
LN34630776,CUST445066,Clerkclaude MacGuigan,35,Contract,70060,632,Home Improvement,11547,12.49,24,Default,2024-02-21,60359,444.41
LN48787294,CUST204101,Joann Annes,34,Unemployed,59986,624,Debt Consolidation,12115,8.8,36,Default,2023-03-27,29589,466.98
LN85199074,CUST303972,Redford Duplan,37,Full-time,60607,647,Home Improvement,28794,4.2,24,Late (16-30 days),2024-01-28,47370,1308.55
LN37454732,CUST728172,Chris Broker,51,Unemployed,87855,732,Business,67984,6.51,60,Current,2023-11-01,52863,943.69
LN68157292,CUST614769,Kip Bugs,38,Self-employed,57408,836,Home Improvement,72313,7.32,60,Active,2023-05-16,33311,835.91
LN43402798,CUST326411,Boonie Durrance,45,Part-time,68076,723,Business,59412,9.78,24,Late (16-30 days),2023-07-02,31733,729.0
LN61628369,CUST503816,Tomkin Nussey,26,Full-time,121770,731,Business,38957,13.4,48,Paid Off,2023-09-21,15993,223.45
LN92335671,CUST328015,Darius Klaaassen,27,Contract,71518,634,Personal,21651,15.82,72,Late (16-30 days),2023-05-02,25228,872.34
LN11822058,CUST807342,Roseanna Coltart,31,Unemployed,112822,581,Debt Consolidation,5744,6.68,24,Late (16-30 days),2024-02-02,8955,1101.65
LN96462322,CUST764982,Freddie Saill,61,Full-time,73625,846,Personal,66669,14.13,72,Default,2024-07-12,16077,1146.26
LN11612853,CUST676229,Emogene McCaw,53,Unemployed,44432,551,Business,22478,7.28,60,Late (31+ days),2023-02-02,58815,451.64
LN37198961,CUST678199,Stesha Prinn,52,Part-time,138879,776,Business,15593,7.71,48,Late (31+ days),2023-02-16,44253,514.19
LN33812194,CUST766279,Melvin Assandri,34,Full-time,112153,820,Medical,6265,11.09,48,Late (16-30 days),2023-04-15,16060,369.52
LN82410252,CUST637918,Rora McCunn,27,Self-employed,121903,692,Home Improvement,9206,12.99,36,Late (16-30 days),2024-07-11,58824,1218.17
LN45536765,CUST388067,Rollin Sweetenham,55,Full-time,113677,760,Medical,6374,7.74,36,Default,2024-06-19,56458,1129.91
LN72960202,CUST532844,Patty Faiers,47,Self-employed,129369,707,Personal,53460,6.74,12,Current,2023-07-22,25098,490.38
